category,name,description,price,type
drinks,330ml Soft Drink,,R14.90,330ml
drinks,Water Still / Sparkling,,R15.90,water
drinks,500ml Ice Tea,,R18.90,ice tea
drinks,330ml Liqui-Fruit,,R16.90,liqui fruit
drinks,500ml Soft Drink,,R16.90,500ml
drinks,Appletiser or Grapetiser,,R17.90,tiser
drinks,Energade,,R17.90,energade
drinks,250ml Red Bull,,R22.90,redbull
drinks,2L Soft Drinks,,R29.90,2l
drinks,Designer Drinks Vanilla Caipirinha (for one),A summery and light vanilla lemonade with a hint of fresh mint and zesty lemon.,R19.90,designer
drinks,Designer Drinks Vanilla Caipirinha (for two),,R35.90,designer
drinks,Designer Drinks Peach Nice-Tea (for one),A fruity and flavoursome peach ice tea.,R19.90,designer
drinks,Designer Drinks Peach Nice-Tea (for two),,R35.90,designer
drinks,Designer Drinks Cherritini (for one),A delightful showstopper featuring a dance between cherry and sweet lemon.,R19.90,designer
drinks,Designer Drinks Cherritini (for two),,R35.90,designer
drinks,Americano / Filter Coffee,,R14.90,hot drink
drinks,Tea,,R14.90,hot drink
drinks,Cappuccino,,R17.90,hot drink
drinks,Espresso,,R11.90,hot drink
drinks,Hot Chocolate,,R17.90,hot drink
